Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R151,2k,R_0805_2012Metric,129.031012,-105.4455,-90.0,top
R152,2k,R_0805_2012Metric,109.981012,-105.4455,-90.0,top
R153,2k,R_0805_2012Metric,90.931012,-105.4455,-90.0,top
R154,2k,R_0805_2012Metric,71.881012,-105.4455,-90.0,top
R155,2k,R_0805_2012Metric,312.387262,-124.4955,-90.0,top
R156,2k,R_0805_2012Metric,290.956012,-124.4955,-90.0,top
R157,2k,R_0805_2012Metric,271.906012,-124.4955,-90.0,top
R158,2k,R_0805_2012Metric,252.856012,-124.4955,-90.0,top
R159,2k,R_0805_2012Metric,233.806012,-124.4955,-90.0,top
R160,2k,R_0805_2012Metric,214.756012,-124.4955,-90.0,top
R161,2k,R_0805_2012Metric,195.706012,-124.4955,-90.0,top
R162,2k,R_0805_2012Metric,176.656012,-124.4955,-90.0,top
R163,2k,R_0805_2012Metric,157.606012,-124.4955,-90.0,top
R164,2k,R_0805_2012Metric,138.556012,-124.4955,-90.0,top
R165,2k,R_0805_2012Metric,119.506012,-124.4955,-90.0,top
R166,2k,R_0805_2012Metric,100.456012,-124.4955,-90.0,top
R167,2k,R_0805_2012Metric,81.406012,-124.4955,-90.0,top
R168,2k,R_0805_2012Metric,62.356012,-124.4955,-90.0,top
R169,2k,R_0805_2012Metric,312.387262,-143.5455,-90.0,top
R170,2k,R_0805_2012Metric,288.574762,-143.5455,-90.0,top
R171,2k,R_0805_2012Metric,264.762262,-143.5455,-90.0,top
R172,2k,R_0805_2012Metric,193.324762,-143.5455,-90.0,top
R173,2k,R_0805_2012Metric,121.887262,-143.5455,-90.0,top
R174,2k,R_0805_2012Metric,100.456012,-143.5455,-90.0,top
R175,2k,R_0805_2012Metric,81.406012,-143.5455,-90.0,top
R176,2k,R_0805_2012Metric,62.356012,-143.5455,-90.0,top
R177,2k,R_0805_2012Metric,43.306012,-143.5455,-90.0,top
R201,100k,R_0805_2012Metric,284.416777,-39.533244,0.0,top
R202,100k,R_0805_2012Metric,270.631768,-38.615008,90.0,top
R301,330k,R_0402_1005Metric,216.039789,-151.293208,0.0,top
R302,1M,R_0402_1005Metric,214.30747,-151.803208,-90.0,top
R303,10k,R_0402_1005Metric,211.401862,-151.773208,90.0,top
R304,100R,R_0402_1005Metric,204.647665,-151.430578,-90.0,top
R305,100R,R_0402_1005Metric,204.142774,-148.191314,180.0,top
R306,100R,R_0402_1005Metric,220.013968,-145.093208,0.0,top
R307,10k,R_0402_1005Metric,218.249376,-145.603208,90.0,top
R308,10k,R_0805_2012Metric,299.864473,-44.887755,90.0,top
R401,5.1k,R_0402_1005Metric,295.177099,-35.401633,180.0,top
R402,5.1k,R_0402_1005Metric,289.625942,-35.159124,-90.0,top
SW301,K2-1187SQ-A4SW-06,K2-1187SQ-A4SW-06,225.658497,-148.193208,-90.0,top
U1,BL24C256A-SFRC,TSSOP-8_4.4x3mm_P0.65mm,272.594447,-58.431502,0.0,top
U2,JOKER MCU,STM_UFQFPN-48_LQFP-48-1EP_7x7mm_P0.5mm_HandSoldering_ThermalReliefs,292.448512,-54.936116,90.0,top
U3,USBLC6-2SC6,SOT-23-6,291.448512,-39.908119,90.0,top
U201,SGM2007-3.3XN5/TR,SOT-23-5,277.404268,-38.615008,-90.0,top
Y1,7325-0800A2010-00,Crystal_SMD_3225-4Pin_3.2x2.5mm,292.136012,-64.186116,180.0,top
